cd_cnpj,nm_razao_social
13712588000158,4 LOG LOGISTICA E TRANSPORTE LTDA
13716161000128,TECHNOLOGY TRANSPORTES LTDA
13989996000151,PONTUAL BRASIL TRANSPORTES LTDA
14018050000100,BEMTRACK LOGISTICA E TRANSPORTES LTDA
14041540000128,BLUE TRANSPORTES EIRELI
14071258000193,BSG TRANSPORTES LTDA
14153200000199,RODOPOLLO TRANSPORTES LTDA
14177918000115,FAG EXPRESS TRANSPORTES LTDA
14235076000100,TRESOR TRANSPORTES LTDA
14307982000173,INOVA TRANSPORTES LTDA
14309089000187,GRIDLOG TRANSPORTES LTDA
14415817000135,AMAVITCARGO TRANSPORTE LTDA
14444516000130,AFL TRANSPORTE E LOGISTICA LTDA
14598243000188,DUCTUS PRIME TRANSPORTES EPP LTDA
14625425000109,TRI JAY TRANSPORTES ADUANEIROS LTDA
14770412000115,RCC EXPRESS LTDA ME
14892785000169,VM XAVIER TRANSPORTADORA LTDA
14990379000139,ROTA SEGURA TRANSPORTES LTDA
14995536000107,DDC LOGISTICA E DISTRIBUICAO EIRELI
15216049000153,MODUS MODAL LOGISTICA EIRELI
15235337000155,ROBDAY TRANSPORTES LTDA
15324904000140,RODOVEIGA TRANSPORTES EIRELI
15418632000147,RODODATA TRANSPORTES LTDA
15463578000151,LIVRE BR TRANSPORTES EIRELI
15578817000119,ASA LESTE TRANSPORTES E LOGISTICA LTDA
15653368000126,IGUACU LOG TRANSPORTES LTDA
16491993000181,ECCOTRANS SOLUCOES LOGISTICAS LTDA
16560889000100,TRANSCOMSILVA TRANSPORTES EIRELI
16815496000191,MBM LOGISTICA E CONSTRUCAO LTDA
16876770000132,TRANSMILAGRES TRANSPORTES LTDA
16906199000151,LDB LOGISTICA E TRANSPORTES LTDA
16906697000102,TRANS TONINHO LTDA
16960342000193,COPERLAGOS TRANSPORTES LTDA
16988255000144,TRANSVITA LTDA
16996362000114,JR TRANSPORTES E LOGISTICA LTDA
17001762000105,MINAS CARGAS TRANSPORTES E LOGISTICA LTDA
17064216000113,RAPIDEX BRASIL TRANSPORTES EIRELI
17097001000107,CARGA BLINDADA TRANSPORTES LTDA
17137387000125,TRANSVELHOTE TRANSPORTES LTDA
17208678000167,PRIME EXPRESS TRANSPORTES LTDA
17211200000196,TRANSFASAN TRANSPORTES LTDA
17284982000193,TRANSDORA TRANSPORTES LTDA
17463456000190,PATRUS TRANSPORTES URGENTES LTDA
17543669000122,LANTO TRANSPORTES LTDA
17558447000183,BAURU LOG EXPRESS LTDA
17595372000100,PASSARO VERDE EXPRESS LTDA
17637411000195,MAVAL TRANSPORTES LTDA
17669218000136,EXDEX TRANSPORTES EIRELI
17672564000173,VALPAN TRANSPORTES LTDA
17680068000161,CGI LOG TRANSPORTES EIRELI
17695006000123,AGG LOG EXPRESS EIRELI
17703290000132,ALS TRANSPORTES LTDA
17735468000127,VNC TRANSPORTES LTDA
17740750000100,DANVALLE TRANSPORTES LTDA
17787572000165,RODOLIMEIRA EXPRESS CARGO LTDA
17788122000197,LITOSUL EXPRESS LTDA
17795675000177,RODOEXTRA LTDA
17848915000154,GO LOG TRANSPORTES EIRELI
17873047000162,FENIX IMPLEMENTOS RODOVIARIOS LTDA
17927431000109,HTL TRANSPORTES LTDA
18003501000197,OLIVEIRA E NOBRE TRANSPORTES LTDA
18016343000100,AGEX ENCOMENDAS URGENTES LTDA
18376765000196,GBD TRANSPORTES EIRELI
18399466000177,MENINOS EXPRESS EIRELI
18433703000179,SAGA TRANSPORTES E LOGISTICA SA
18484669000161,DOLCI & DOLCI TRANSPORTE LTDA
18484745000139,MS CARGAS BRASIL LTDA
18956408000105,BARILOG TRANSPORTE E LOGISTICA EIRELI
19351815000143,TRANSFIRME TRANSPORTADORA EIRELI
19577906000100,REVERSO TRANSPORTES LTDA
19578176000153,ROTHA TRANSPORTE E LOGISTICA LTDA
19688785000165,PANTHRO TRANSPORTES LTDA
19694199000123,TRANSREFER TRANSPORTE E LOGISTICA LTDA
19863408000115,MOVATI TRANSPORTES LTDA
19890237000113,EMANUEL & COSTA TRANSPORTES LTDA
20001026000161,MASS TRANSPORTES E LOGISTICA LTDA
20055368000164,IRRESO REMOCAO E TRANSPORTE LTDA
20065393000129,NLT TRANSPORTES LTDA
20067270000127,TRANSPAULISTANA SP LOGISTICA EIRELI
20111917000170,PLURAL LOGISTICA E TRANSPORTES LTDA
20147617000141,JAMEF TRANSPORTES LTDA
20147617002276,JAMEF TRANSPORTES LTDA
20330046000186,LLS LOGISTICA LTDA
20335095000101,YCELOG LOGISTICA E TRANSPORTES EIRELI
20344185000169,RESGATE SAO PAULO TRANSPORTES EIRELI
20434672000112,VANGUARDA TRANSPORTES LTDA
20495792000120,JL TRANSPORTES LTDA
20693532000169,TRANSNORTE ALOG TRANSPORTES EIRELI
20856135000160,DVAL TRANSPORTES LTDA
20867501000187,MT FAST TRANSPORTES LTDA
20896108000111,2S TRANSPORTES LTDA
